,Boletim de serviço,Status,chassi
0,SB FAT-00-CG10,APPLICABLE,10000076
1,SB FAT-00-CG11,APPLICABLE,10000076
2,SB FAT-23-CG07,APPLICABLE,10000076
3,SB FAT-24-CG05,APPLICABLE,10000076
4,SB FAT-24-A005,APPLICABLE,10000076
5,SB FAT-24-CG06,APPLICABLE,10000076
6,SB FAT-24-CG11,APPLICABLE,10000076
7,SB FAT-27-CG14,APPLICABLE,10000076
8,SB FAT-27-CG18,APPLICABLE,10000076
9,SB FAT-27-CG22,APPLICABLE,10000076
10,SB FAT-29-CG05,APPLICABLE,10000076
11,SB FAT-31-CG05,APPLICABLE,10000076
12,SB FAT-31-CG22,APPLICABLE,10000076
13,SB FAT-32-CG14,APPLICABLE,10000076
14,SB FAT-32-CG16,APPLICABLE,10000076
15,SB FAT-33-CG02,APPLICABLE,10000076
16,SB FAT-33-CG07,APPLICABLE,10000076
17,SB FAT-34-CG10,APPLICABLE,10000076
18,SB FAT-35-CG03,APPLICABLE,10000076
19,SB FAT-36-CG04,APPLICABLE,10000076
20,SB FAT-36-CG06,APPLICABLE,10000076
21,SB FAT-36-CG07,APPLICABLE,10000076
22,SB FAT-38-CG04,APPLICABLE,10000076
23,SB FAT-52-CG05,APPLICABLE,10000076
24,SB FAT-52-CG06,APPLICABLE,10000076
25,SB FAT-53-CG01,APPLICABLE,10000076
26,SB FAT-53-CG03,APPLICABLE,10000076
27,SB FAT-53-CG04,APPLICABLE,10000076
28,SB FAT-53-CG05,APPLICABLE,10000076
29,SB FAT-55-CG03,APPLICABLE,10000076
30,SB FAT-57-CG07,APPLICABLE,10000076
31,SB FAT-71-CG07,APPLICABLE,10000076
32,SB FAT-71-CG09,APPLICABLE,10000076
33,SB FAT-26-CG04,APPLICABLE,10000076
34,SB FAT-31-CG25,APPLICABLE,10000076
35,SB FAT-55-A004,APPLICABLE,10000076
36,SB FAT-25-CG46,APPLICABLE,10000076
37,SB FAT-26-CG05,APPLICABLE,10000076
38,SB FAT-22-CG04,APPLICABLE,10000076
39,SB FAT-00-CG27,APPLICABLE,10000076
40,SB FAT-27-CG30,APPLICABLE,10000076
41,SB FAT-21-CG05,INCORPORATED,10000076
42,SB FAT-21-CG07,INCORPORATED,10000076
43,SB FAT-21-CG08,INCORPORATED,10000076
44,SB FAT-21-CG09,INCORPORATED,10000076
45,SB FAT-22-CG01,INCORPORATED,10000076
46,SB FAT-24-CG04,INCORPORATED,10000076
47,SB FAT-24-CG08,INCORPORATED,10000076
48,SB FAT-24-CG09,INCORPORATED,10000076
49,SB FAT-24-CG10,INCORPORATED,10000076
50,SB FAT-24-CG12,INCORPORATED,10000076
51,SB FAT-24-CG14,INCORPORATED,10000076
52,SB FAT-24-CG15,INCORPORATED,10000076
